,composition,Atoms,Ind Charges,reduced_formula,mp-id,icsd_id,Charge_prob_per_ele,Charge_prob,normalized_charge_prob,Intrastate,Interstate
3086,K7Pb9I1,"[7, 9, 1]","[[1], [-1, 2], [-1]]",K7Pb9I,[],[],"[1.0, 0.24844444444444444, 0.906]",0.225090667,0.549655851,FALSE,FALSE
3087,K7Pb9I4,"[7, 9, 4]","[[1], [-1, 2], [-1]]",K7Pb9I4,[],[],"[1.0, 0.2738888888888889, 0.906]",0.248143333,0.605948869,FALSE,FALSE
3088,K7Pb10I3,"[7, 10, 3]","[[1], [-1, 2], [-1]]",K7Pb10I3,[],[],"[1.0, 0.2688, 0.906]",0.2435328,0.594690265,FALSE,FALSE
3089,K7Pb11I2,"[7, 11, 2]","[[1], [-1, 2], [-1]]",K7Pb11I2,[],[],"[1.0, 0.26463636363636367, 0.906]",0.239760545,0.585478681,FALSE,FALSE
3090,K7Pb12I1,"[7, 12, 1]","[[1], [-1, 2], [-1]]",K7Pb12I,[],[],"[1.0, 0.26116666666666666, 0.906]",0.236617,0.57780236,FALSE,FALSE
3091,K8Pb1I7,"[8, 1, 7]","[[1], [-1], [-1]]",K8PbI7,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3092,K8Pb1I10,"[8, 1, 10]","[[1], [2], [-1]]",K8PbI10,[],[],"[1.0, 0.452, 0.906]",0.409512,1,FALSE,FALSE
3093,K8Pb2I9,"[8, 2, 9]","[[1], [-1, 2], [-1]]",K8Pb2I9,[],[],"[1.0, 0.3375, 0.906]",0.305775,0.746681416,FALSE,FALSE
3094,K8Pb3I5,"[8, 3, 5]","[[1], [-1], [-1]]",K8Pb3I5,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3095,K8Pb3I8,"[8, 3, 8]","[[1], [-1, 2], [-1]]",K8Pb3I8,[],[],"[1.0, 0.29933333333333334, 0.906]",0.271196,0.662241888,FALSE,FALSE
3096,K8Pb4I7,"[8, 4, 7]","[[1], [-1, 2], [-1]]",K8Pb4I7,[],[],"[1.0, 0.28025, 0.906]",0.2539065,0.620022124,FALSE,FALSE
